
#File completely rewritten, updated, & reworked by Math August 2019.
#Draiocht then made some further alterations for 12.0 in September.
#Credit all around, at this point, about 10 different people have contributed something or other, and many quite a lot, including especially Math, Draiocht, and Arga.


######Americas######

#Caribbean
481 = "Bermudes"					#Bermuda. Notes
#Mississippi, Great Lakes and Great Plains (+ Rio Grande)
877 = "Tucson"						#Pima. Notes									
878 = "Trois Rivières"				#Navajo. Notes - without hyphen to distinguish from real TR
879 = "Nouvelle Berne"				#Apache. Notes - I was inspired by the wordplay
880 = "Santa Fe"					#Pueblo. Notes						
881 = "Belle Lumière"				#Piro. Notes 							
882 = "Roswell"						#Mescalero. Notes - Sumner or Carlsbad might be better, but people love Roswell. May be considered a 'light' easter egg
884 = "Fort Saint-Louis"			#Karankawa. Notes
887 = "Toaux"						#Tonkawa. Notes
888 = "Arkokisa"					#Atakapa. Notes
893 = "La Nouvelle-Orléans"			#Chitimacha. Notes
894 = "Ecore Fabre"					#Caddo. Notes
895 = "Les Arcansas"				#Arkansas. Notes
897 = "La Petite Roche"				#Quapaw. Notes
898 = "Cavagnial"					#Kansas. Notes - "Fort Cavagnial"
899 = "Monts aux Arcs"				#Osage. Notes
900 = "Saint-Louis"					#Tamaroa. Notes
901 = "Panis"						#Pawnee. Notes
902 = "Fort Orléans"				#Missouri. Notes
903 = "Mahas"						#Omaha. Notes
904 = "Maçonville"					#Nakota. Notes
906 = "Jacquesville"				#Lakota. Notes
907 = "Chutes des Sioux"			#Dakota. Notes - not great, but I'm feeling whimsical and this amuses me.
908 = "Saint-Cloud"					#Minnesota. Notes
909 = "Bismark"						#Mandan. Notes
910 = "Grand Portage"				#Chippewa. Notes
911 = "Saint-Ignace"				#Menominee. Notes - "Mission Saint-Ignace"
913 = "Prairie du Chien"			#Fox. Notes
914 = "La Baye"						#Winnebago. Notes - "Fort La Baye"
915 = "Pimitéoui"					#Illinois. Notes - "Fort Pimitéoui"
918 = "Prud'homme"					#Tennessee. Notes - "Fort Prud'homme"
919 = "Chicachas"					#Chickasaw. Notes
920 = "Tchattas"					#Choctaw. Notes
921 = "Bâton Rouge"					#Bayougoula. Notes
924 = "Alibamons"					#Alabama. Notes - "Fort des Alibamons"
935 = "Chéraquie"					#Cherokee. Notes
939 = "Casquinambaux"				#Pennyrile. Notes
940 = "Louisville"					#Kentucky. Notes
942 = "Ouiaténon"					#Wea. Notes - "Fort Ouiaténon"
944 = "Détroit"						#Potawatomi. Notes
945 = "Michilimackinac"				#Michigan. Notes
946 = "Sandoské"					#Wyandot. Notes
947 = "Chiningué"					#Erie. Notes
948 = "Belle Rivière"				#Ohio. Notes
951 = "Sonhioto"					#Kanawha. Notes
1809 = "Casper"							#Cheyenne. Notes - or Caspar, an earlier spelling
2006 = "Bozeman"						#Apsaalooke. Notes - or Coulson (early name of Billings)
2007 = "Mobridge"						#Arikara. Notes
2008 = "Dickinson"						#Yankton. Notes
2009 = "Valentin"						#Teton. Notes
2010 = "Coneticout"						#Connecticut. Notes
2496 = "Jicarilla"						#Jicarilla. Notes
2498 = "Choumans"						#Jumao. Notes
2499 = "Caouachés"						#Coahuitelco. Notes
2501 = "Grandes Chutes"					#Piegan. Notes 
2502 = "Fort Peck"						#Haaninin. Notes
2503 = "Grandecorne"					#Ashshipite. Notes - made up and kind-a awkward. Ah well, unlikely to be seen by too many people and I can improve it later
2504 = "Worland"						#Eelalapito. Notes - or Themopolis, or Bighorn Basin
2505 = "Collines Noires"				#Tsitsistas. Notes - or Hot Springs, or Deadwood, or Rapid City
2506 = "Mont-aux-Sources"				#Kuccuntikka. Notes - Reddwolf''s suggestion, and I quite like it.
2510 = "Washburn"						#Mandan. Notes 
2512 = "Fort Ridgely"					#Wahpekute. Notes - or Minnesota 
2513 = "La Harpe"						#Moingwena. Notes
2514 = "Sainte-Geneviève"				#Michigamea. Notes
2515 = "Fayetteville"					#Satuskhdin. Notes
2516 = "Adaïé"							#Adai. Notes
2517 = "Saint-Paul"						#Mdewakanton. Notes
2518 = "La Pointe"						#Noquet. Notes
2520 = "Massiac"						#Mengkonkia. Notes
2521 = "Saguinam"						#Okouara. Notes
2522 = "Saint-Joseph"					#Mascouten. Notes
2523 = "Vincennes"						#Piankeshaw. Notes
2525 = "Rivière à la Roche"				#Chillicothe. Notes
2526 = "Cachiqueto"						#Shatteras. Notes
2528 = "Yazou"							#Yazoo. Notes
2530 = "Bilocci"						#Biloxi. Notes
2532 = "Tombecbé"						#Tohome. Notes
2533 = "Sainte-Rose"					#Chatot. Notes
2548 = "Nouvelle-Rivière"				#Tutelo. Notes
2551 = "Malanghelé"						#Monongahela. Notes
2559 = "Carillon"						#Adirondack. Notes
2563 = "Vermont"						#Missiquoi. Notes
2665 = "Bidaye"							#Ais. Notes
2669 = "Le Dout"						#Hasinai. Notes
4959 = "Denver" 						#Niineniiniiciihehe. Notes
5065 = "Pueblo" 						#Muache. Notes								
5066 = "Tremble" 						#Taveewachii. Notes
5613 = "Roche Jaune"					#Tukkutikka. Notes - This is the original phrase which was later translated into English as Yellowstone
5614 = "Forsyth"						#Bighorn. Notes 
5615 = "Fort Keogh"						#LowerYellowstone. Notes - or Milesville
5616 = "Glasgow"						#EMontana. Notes
5617 = "Fort Jacques"					#WNDakota. Notes - or Fort Berthold, or Fort Atkinson, or Sakakawea
5618 = "Fort Pierre"					#Central Lakota. Notes
5619 = "Fort Robinson"					#Fort Robinson. Notes
5620 = "Oacoma"							#Ponca. Notes 
5621 = "Beauharnois"					#Minneapolis. Notes
5622 = "Virginie"						#NMinnesota. Notes
5627 = "Fort Assiniboine"				#Val Marie. Notes 
5628 = "Siouxville"						#Sioux City. Notes
5629 = "Fort Laramie"					#Fort Laramie. Notes

#Canada and Hudson Bay
971 = "Castine"						#Abnaki. Notes	
980 = "Baie Sainte-Claire" 			#Beothuk. Notes						
981 = "Stephenville" 				#Taqamkuk. Notes								 
982 = "Île Royale"					#Unamakik. Notes								 
983 = "Île Saint-Jean"				#Epekwitk. Notes							
984 = "Grand-Pré"					#Acadia. Notes									
985 = "Beauséjour"					#Micmac. Notes							
986 = "Baie des Chaleurs"			#Kespek. Notes					
987 = "Niagara" 					#Niagara. Notes											
988 = "Petite Côte" 				#Huron. Notes									
989 = "Frontenac" 					#Ontario. Notes										
990 = "Mauricie"					#Kwedech. Notes									 
991 = "Saults des Chenaux" 			#Ottawa	. Notes					
992 = "Outaouais"					#Algonquin. Notes								
993 = "Laurentides"					#Hochelega. Notes 						
994 = "Québec"						#Stadacona. Notes									
995 = "Tadoussac"					#Atiamekw. Notes
996 = "Blanc Sablon" 				#Pakua Shipu. Notes				
997 = "Baie Rouge" 					#NunatuKavut. Notes					
998 = "Grande Baleine" 				#Innuksuak. Notes					
999 = "Fort George" 				#Cisasipi. Notes							
1000 = "Eastmain" 						#Wapanutaw. Notes							
1001 = "Sault-Sainte-Marie" 			#Sault. Notes							
1002 = "Abitibi"						#Abitibi. Notes 
1003 = "Fort Albany" 					#Keeshechewan. Notes	
1004 = "Fort Saint-Louis" 				#Mosoni. Notes						
1005 = "Fort Bourbon" 					#Mushkegowuk. Notes					
1006 = "Churchill" 						#Missinipi. Notes										
1007 = "Kamanistigouian" 				#Ojibwa. Notes
1008 = "Fort Rouge" 					#Winipek. Notes					
1009 = "Bas de la Rivière" 				#Wanipigow. Notes		
1010 = "Manitou" 						#Manidoobaa. Notes
1011 = "Fort Bourbon"					#Woods Cree. Notes	
1806 = "Island Lake" 					#Wasagamack. Notes						
1808 = "Humboldt" 						#Mahaguaduka. Notes					
1810 = "Kuskokwim" 						#Deg Hitan. Notes						
1811 = "Lac Tadoule"					#Nunavut. Notes	
1813 = "Fort Pascoyac" 					#Opaskwayak. Notes	
2004 = "Lethbridge" 					#Kainawa. Notes							
2005 = "Wascana" 						#Oscana. Notes			
2012 = "Arthabaska"						#Arsigantegok. Notes 						
2015 = "Michipicoten" 					#Nipigon. Notes	
2016 = "Grandes Fourches" 				#Isangyathi. Notes
2017 = "Fort Edmonton" 					#Nehiyawewin. Notes			
2018 = "Jasper" 						#Tsuu Tina. Notes
2511 = "Lac du Diable" 					#Mni Wakang. Notes			
2566 = "Machias"						#Passamaquoddy. Notes					
2567 = "Aroostook"						#Aroostook. Notes						
2568 = "Port-Royal"						#Kespukwitk. Notes							
2569 = "La Hève"						#Eskikewakik. Notes							
2570 = "Saint-Jean"						#Wolystoq. Notes							 
2571 = "Meductic"						#Madawaska. Notes								
2572 = "Miramichi"						#Siknikt. Notes		
2573 = "Port-aux-Basques" 				#Qalipu. Notes				
2574 = "Naine" 							#Sikumiut. Notes		
2575 = "Rigolet" 						#Mishtashipu. Notes							
2576 = "Mingan"							#Mingan. Notes								
2577 = "Sept-Îles"						#Manicouagan. Notes						
2578 = "Anticosti"						#Anticosti. Notes									
2579 = "Saguenay"						#Piekougami. Notes								
2580 = "Haute-Mauricie"					#Atikamekw. Notes				
2581 = "Obadjiwan"						#Timiskaming. Notes						
2582 = "Rimouski"						#Maliseet. Notes								
2583 = "Trois-Rivières"					#Etchemins. Notes					
2584 = "Montréal"						#Loup. Notes								 
2585 = "L'Orignal" 						#Kichesipi. Notes 								
2586 = "Sainte-Claire" 					#Tionontate. Notes 						
2587 = "Pétunie" 						#Odawa. Notes								
2588 = "Nipissing" 						#Piscatang. Notes								
2589 = "Kapuskasing" 					#Kesagami. Notes							
2590 = "Témiscamingue"					#Shaggami. Notes						
2591 = "Chapleau" 						#Outoulibi. Notes	
2592 = "Fort Severn" 					#Omaskekowak. Notes
2593 = "Lac des Bois" 					#Minitie. Notes			
2594 = "Nelson" 						#Powinigow. Notes				
2595 = "Île-à-la-Crosse" 				#Sakittawak. Notes
2596 = "Qu'Appelle" 					#Hohe. Notes					
2597 = "Saskatchewan" 					#Kisiskaciwani Sipiy. Notes	
2598 = "Brises Chaudes" 				#Moose Gaw. Notes
2602 = "Calgary" 						#Siksikawa. Notes							 
2670 = "Toronto" 						#Tkaronto. Notes									
2671 = "Wasauksing" 					#Mississage. Notes	
3111 = "Espoir de Chrétien"				#Amerloq. Notes								
3112 = "Bonespoir"						#Kikertarsocitsiak. Notes					
3113 = "Espoir de Frédéric"				#Mellembygden. Notes	
4939 = "Wapitis Rouges" 				#Waskasoo Seepee. Notes					
4973 = "Sainte-Anne-des-Pins" 			#Waanabidebiing. Notes		
4974 = "Grand Banc" 					#Grand Bank. Notes
4990 = "Point d'Eskimo" 				#Tikirajualaaq. Notes
4991 = "Rankin Inlet" 					#Kudlulik. Notes					
4992 = "Cape Fullerton" 				#Qatiktalik. Notes					
4993 = "Baie du Rejet" 					#Naujaat. Notes								
4994 = "Igloolik" 						#Sanirajak. Notes									
4995 = "Southhampton Island" 			#Shugliaq. Notes		
4996 = "Hautes-Montagnes" 				#Sikusiilaq. Notes			
4997 = "Lake Harbour" 					#Amadjuak. Notes					
4998 = "Frobisher Bay" 					#Iqaluit. Notes					
4999 = "Îles Belcher" 					#Sanikiluaq. Notes
5002 = "Brochet" 						#Kinoosao. Notes								
5003 = "Las des Grosses Truites" 		#Inninuwug. Notes	
5004 = "Portage D'Oreille" 				#Otahwaka Powitek. Notes	
5005 = "Winisk" 						#Webequie. Notes							
5006 = "Baie Déception" 				#Salluit. Notes					
5007 = "Fort Chimo" 					#Kuujjuaq. Notes							
5008 = "Nemiscau" 						#Nemiskaw. Notes								
5009 = "Oujé-Bougoumou" 				#Ucepukumu. Notes				
5010 = "Passes-Dangereuses" 			#Menukuanistuk Shipu. Notes
5011 = "Manicouagan" 					#Mushaualakan. Notes							
5012 = "Mécatina" 						#Makatinau. Notes							
5013 = "Saint-Jean" 					#Beothuk. Notes								
5014 = "Labrador" 						#Kawawachikamach. Notes				
5015 = "Naskapi" 						#Nitassinan. Notes
5019 = "Saint-Pierre-et-Miquelon" 		#Saint Pierre et Miquelon. Notes
5623 = "Minot"							#Minot. Notes
5624 = "Brandonville"					#Quappelle. Notes 
5625 = "Pembine"						#Pembina. Notes
5626 = "Centralie"						#Fargo. Notes - or "Fargot"	
5034 = "Fort McMurray" 					#Saamis. Notes						
5035 = "Lac la Biche" 					#Nahathaway. Notes			
5036 = "Fort Saint-Pierre" 				#Atikokan. Notes						
5037 = "Huronie" 						#Wendake. Notes								
5038 = "Kenté" 							#Quinte. Notes											
5039 = "Isle de Ste-Marie" 				#Manidoowaaling. Notes			
5046 = "Sainte-Anne"					#Nashwaak. Notes						
5047 = "Tatmagouche"					#Epegoitnag. Notes				
5048 = "Chedabuctou"					#Esgigeoag. Notes						
5049 = "Caraquet"						#Gespegeoag. Notes								
5050 = "Madawaska"						#Madawaska II. Notes						
5051 = "Cap de Sable"					#Keespongwitk. Notes					
5052 = "Piscataquis"					#Panawahpskek. Notes						
5053 = "Kamouraska"						#Kamouraska. Notes					
5054 = "Gaspé"							#Gespeg. Notes										
5055 = "Pointe-aux-Outardes"			#Piletipistu Neshkau. Notes		
5056 = "Pontiac"						#Kichesipirini. Notes							
5057 = "Harricana"						#Nanikana. Notes								
5058 = "Trépassés"						#Avalon II. Notes								
5059 = "Plaisance"						#Avalon III. Notes								
5060 = "Estrie"							#Mamhlawbagak. Notes
5067 = "Lac Baker"						#Qamanituaq. Notes							
5068 = "Keewatin"						#Paallirmiut. Notes								
5069 = "Ennadai"						#Ihalmiut. Notes									
5070 = "Lac Brochet"					#Etthen Eldili. Notes							
5071 = "Rivière de Grands Poissons"		#Thlewechodyeth. Notes
5592 = "Schefferville"					#North Naskapi. Notes
5593 = "Fort Mackenzie"					#Caniapiscau. Notes									
5595 = "Cumberland"						#Panniqtuuq. Notes							
5596 = "Rivière de Clyde"				#Kanngiqtugaapik. Notes

#Northwest Territories and Alaska	
978 = "La Mouillage" 				#Tanaina. Notes		
1812 = "La Congère"						#Northwest Territories. Notes
2599 = "Fort Chipewyan" 				#Kaithelikehotinne. Notes	
2600 = "Athabasca" 						#Athapaskaw. Notes		
2601 = "Fort Vermilion" 				#Wapuskau. Notes	
2603 = "Sekani" 						#Tsekene. Notes
2611 = "Kodiak" 						#Qikrtaq. Notes		
2612 = "Cordova" 						#Eyak. Notes	
4920 = "Aleut" 							#Aleut. Notes									
4921 = "Naknek" 						#Naugeik. Notes									
4922 = "Dilingham" 						#Curyuk. Notes								
4923 = "Bethel" 						#Mamterilleq. Notes								
4924 = "Unalakleet" 					#Unalaqliq. Notes						
4925 = "Nome" 							#Chinik. Notes										
4926 = "Kenai" 							#Kena. Notes									
4927 = "Valdez" 						#Suacit. Notes
4928 = "Galena" 						#Koyukuk. Notes							
4929 = "Clachotin" 						#Nuchalawoyyet. Notes				
4930 = "Allakaket" 						#Allakaket. Notes								
4931 = "Fairbanks" 						#Chena. Notes									
4932 = "Beaver" 						#Denyeet. Notes										
4933 = "Fort Yukon" 					#Gwichin. Notes							
4934 = "Eagle" 							#Han Hwechin. Notes									
4935 = "Tanacross" 						#Taatsaltey. Notes							
4936 = "Ahtna" 							#Ahtna. Notes							
4937 = "Klondike" 						#Trochek Hwechin. Notes						
4938 = "Whitehorse" 					#Dan. Notes
4968 = "Kotzebue" 						#Qikiqtagruk. Notes							
4969 = "Point d'Espoir" 				#Tikigaq. Notes							
4970 = "Barrow" 						#Ukpeagvik. Notes								
4971 = "Prudhoe Bay" 					#Sagavanirktok. Notes
4976 = "Aklavik" 						#Tuktuyaaqtuuq. Notes							
4977 = "Vielle Corneille" 				#Teechik Notes						
4978 = "Fort du Bon Espoir" 			#Radeyilikoe. Notes				
4980 = "Fort Norman" 					#Sahtu. Notes						
4981 = "Tagish" 						#Tagish. Notes								
4982 = "Omenica" 						#Omenica. Notes									
4983 = "Fort Simson" 					#Liidli Kue. Notes						
4984 = "Fort d'Epinette" 				#Danezaa. Notes					
4985 = "Lac la Martre" 					#Tlicho. Notes							
4986 = "Fort Providence" 				#Kagee. Notes					
4987 = "Fort Nelson" 					#Muskwa. Notes
4989 = "Fort Resolution" 				#Desnedhekkenade. Notes
5000 = "Lac la Loche" 					#Methye. Notes							
5001 = "Fond du Lac" 					#Hoteladi Hotthenade. Notes
5033 = "Fort Fork" 						#Amiskiwiyiniw. Notes
5040 = "Kaska" 							#Kaska. Notes									
5041 = "Nahanni" 						#Nahanni. Notes	
5072 = "Flancs-de-Chien"				#Tatsaotine. Notes							
5073 = "Fort Confiance"					#EastSahtu. Notes								
5074 = "Lac Colville"					#Kahbamitue. Notes							
5076 = "Île de Troc"					#Qaaktugvik. Notes							
5077 = "Île Saint-Laurent"				#Sivuqaq. Notes								
5078 = "Mayo"							#Nacho Nyak Dun. Notes
5079 = "Grand Saumon"					#Tage Cho Hudan. Notes

#Cascadia and California
862 = "Opaterie"					#Yaqui. Notes
865 = "Cochimi" 					#Cochimi. Notes										
866 = "La Paix" 					#Guaycura. Notes				
867 = "Cahuilla" 					#Íviluqaletem. Notes				
868 = "Sainte-Barbe" 				#Chumash. Notes							
869 = "Ville-du-Roi" 				#Salinan. Notes								
870 = "Stockton" 					#Yatchicumne. Notes						
871 = "Mendocino" 					#Pomo. Notes									
872 = "Willamette" 					#Kalapuya. Notes									
873 = "Columbie" 					#Multnomah. Notes							
874 = "Seattle" 					#DkhwDuwAbsh. Notes	
875 = "Hopi"						#Canyon. Notes									
876 = "Phénix"						#Yavapai. Notes					
972 = "Nootka" 						#Mowichat. Notes							
973 = "Fort Vancouver" 				#Skwxwuhmesh. Notes					
974 = "Bella Bella" 				#Kwakiutl. Notes					
975 = "Bella Coola" 				#Nuxalk. Notes			
976 = "Tlingit" 					#Lingit. Notes							
977 = "Yakutat" 					#Yaakwdaat. Notes		
2003 = "Kootenais de l'Est" 			#Ktunaxa. Notes	
2019 = "Nez Percés" 					#Niimiipu. Notes						
2020 = "Les Grandes Chutes" 			#Bohoinee. Notes
2021 = "Saint-François"					#Miwok. Notes													
2022 = "Haïda" 							#Xaayda. Notes
2476 = "Saint-Didace"					#Kumeyaay. Notes
2480 = "Shasta" 						#Waika. Notes									
2481 = "Coquille" 						#Umpqua. Notes									
2482 = "Mount Hood" 					#Clackamas. Notes						
2483 = "La Grande" 						#Umatilla. Notes		
2484 = "La Bouche" 						#Aqokulo. Notes			
2485 = "Puyallup" 						#Spuyalupubsh. Notes	
2486 = "Snoqualmie" 					#Sdukalbixw. Notes	
2487 = "Spokane" 						#Sqeliz. Notes							
2488 = "Yakima" 						#Yakama. Notes					
2489 = "Boise" 							#Bannock. Notes											
2490 = "Grand Lac Salé" 				#Gutsipupiutsi. Notes
2491 = "Hualapai"						#Hualapai. Notes									
2492 = "Ville d'Argent"					#Chiricahua. Notes				
2493 = "Zuni"							#Hopi. Notes										
2494 = "Gila"							#Zuni. Notes										
2495 = "Blanchêne"						#Acoma. Notes	
2608 = "Sawatch" 						#Rocky Mountains. Notes			
2616 = "Caborca" 						#Seri. Notes
2604 = "Fort George" 					#Dakelh. Notes			
2605 = "Shuswap" 						#Secwepemc. Notes			
2606 = "Fort Alexandre" 				#Tsilhqotin. Notes
2607 = "Okanagan" 						#Syilx. Notes			
2609 = "Prince Rupert" 					#Tsmsyan. Notes				
2610 = "Powell River" 					#Komoks. Notes
2613 = "Sitka" 							#Shee Atika. Notes	
2620 = "Tijuana" 						#Kumeyaay. Notes
2477 = "Fortune"						#Natinixwe. Notes
4649 = "Navojoa" 						#Yoreme. Notes
4940 = "Fort Victoria" 					#Snuneymuxw. Notes					
4941 = "Kitimat" 						#Xaislakala. Notes									
4942 = "Tillamook" 						#Nehalem. Notes									
4943 = "Bulkley" 						#Nataotin. Notes										
4944 = "Nechako" 						#Netsha Koh. Notes							
4945 = "Les Dalles" 					#Tlakluit. Notes						
4946 = "Rivière des Chutes" 			#Towarnehiooks. Notes			
4947 = "Kootenais de l'Ouest" 			#Aqkoktlaqatl. Notes		
4948 = "Cœur d'Alène" 					#Qlispel. Notes								
4949 = "Skagit" 						#Nlakapamux. Notes							
4950 = "Frêne" 							#Choinumni. Notes									
4951 = "Sacrement" 						#Nisenan. Notes									
4952 = "Owens Valley" 					#Wakopee. Notes							
4953 = "Lac Tahoe" 						#Waashiw. Notes									
4954 = "Lac des Oies" 					#Newapkshi. Notes						
4955 = "Vallée de la Mort" 				#Tumpisa. Notes					
4956 = "Vallée des Coquins" 			#Takelam. Notes					
4957 = "Haut Désert" 					#Wadatika. Notes								
4958 = "Klamath" 						#Iwauna. Notes
4960 = "Porte de l'Enfer" 				#Nmesuletkw. Notes				
4961 = "Palouse" 						#Palus. Notes								
4962 = "Uintah" 						#Yapudttka. Notes									
4963 = "Colorado" 						#Pahdteeahnooch. Notes
4964 = "Seri" 							#Comcaac. Notes						
4965 = "Wasatch" 						#Toompahnahwach. Notes					
4966 = "Cohonino" 						#Havsuw Baaja. Notes							
4967 = "Utah" 							#Pahvant. Notes	
4972 = "Tahltan" 						#Tahltan. Notes
4975 = "Moab" 							#Sahyehpeech. Notes								
4979 = "Navajo" 						#NavojoWest. Notes
4988 = "Stuart Lake" 					#Wetsuweten. Notes
5016 = "Winnemucca" 					#Kuyuidika. Notes						
5017 = "Orignalo" 						#Natakkoa. Notes								
5018 = "Les Anges" 						#Tongva. Notes								
5020 = "Îles Révillegigède" 			#Revilla Gigedo Islands. Notes														
5030 = "Sainte-Rose" 					#Ohlone. Notes						
5031 = "Eureka" 						#Wiyot. Notes										
5032 = "Bakersfield" 					#Tachi. Notes
5042 = "Mohave" 						#Aha Makhav. Notes							
5043 = "Mexicali" 						#Cocopah. Notes							
5044 = "Lac de Mono" 					#Kucadikadi. Notes					
5045 = "Redding" 						#Wintu. Notes	
5061 = "Guaymas" 						#Guaymas. Notes								
5064 = "Durango" 						#Hisatsinom. Notes		
5612 = "Saumon"							#Akaitikka. Notes
5774 = "La Paume"						#Cupeno. Notes
5794 = "Grand Sud"						#Esselen. Notes
5814 = "Saint-Joseph"					#Ohloneii. Notes
5859 = "Tijeanne"						#Mutttipi. Notes		

#East Coast
927 = "Saint-Augustin"				#Timucua. Notes
928 = "Apalache"					#Apalachee. Notes
929 = "Sainte-Catherine"			#Muskogee. Notes
930 = "Chattaux"					#Yamasee. Notes
932 = "Fort de Santé"				#Santee. Notes
938 = "Transfalgard"				#Pamlico. Notes
952 = "Pouhatang"					#Powhatan. Notes
954 = "La Presqu'île"				#Allegheny. Notes
955 = "Andastes"					#Susquehanna. Notes
956 = "Philadelphie"				#Lenape. Notes
957 = "Delorbée"					#Delaware. Notes
958 = "Sonnontouanie"				#Seneca. Notes
959 = "Cherontons"					#Cayuga. Notes
960 = "Onontagué"					#Onondaga. Notes
961 = "Onneiout"					#Oneida. Notes
962 = "Cap de Mai"					#Unami. Notes
963 = "Nouvelle-Saintonge"			#Mahican. Notes
964 = "Agniers"						#Mohawk. Notes
965 = "La Nouvelle-Angoulême"		#Manhattan. Notes
967 = "Baie Notre-Dame"				#Narraganset. Notes
968 = "Baie Blanche"				#Massachusetts. Notes
970 = "Pointe Verte"				#Pennacook. Notes
2011 = "Acconachena"					#Shenandoah. Notes
2013 = "Horsaines"						#Kennebec. Notes
2023 = "Carantouanie"					#Munsee. Notes
2535 = "Caloucha"						#Calusa. Notes
2538 = "Yamésez"						#Yamasee. Notes
2539 = "Fort Caroline" 					#Mocama. Notes - The place where this french settlement was is disputed, some say that it's at the place of the modern Jacksonville (Florida) and others say that Fort Caroline where at the Altamaha (Georgia) mouth, I took sides for the second one for now as it allows more french localisation.
2540 = "Caouitas"						#Coweta. Notes
2542 = "Charlesfort"					#Cusabo. Notes
2543 = "Longue Baie"					#Waccamaw. Notes
2546 = "Cap Ferre"						#Chicora. Notes
2547 = "La Magdelaine"					#Roanoke. Notes
2553 = "Patoumek"						#Potomac. Notes
2555 = "Duquesne"						#Honniasont. Notes
2558 = "Ésope"							#Espachomy. Notes
2561 = "Cap Blanc" 						#Wampanoag. Notes
2564 = "Socoquis"						#Sokoki. Notes
2639 = "Ambois"							#Raritan. Notes	

#Mexico
855 = "Mazatlán"					#Huichol. Notes						
859 = "Sinaloa"						#Sinaloa. Notes
5063 = "Culiacán" 						#Colhuacan. Notes	

#La Plata
778 = "Bons Vents"					#Rio de la Plata. Notes	
781 = "Port-Désiré"					#Patagonia Oriental. Notes
1095 = "Îles Malouines"					#Falklands. Notes
2847 = "Saint-Louis"					#San Luis. Notes
2848 = "Sainte Foi"						#Santa Fe. Notes
2849 = "Rosaire"						#Rosario. Notes
2868 = "Saint-Antoine"					#Pambu. Notes
2871 = "Poie"							#Poya. Notes
5027 = "Tristan de Cogne"				#Tristan da Cunha. Notes

#Brazil					#I need to redone a part of it because some are really bad
742 = "Saint-Thomas"				#Guayana. Notes
743 = "Essequebé"					#Essequibo. Notes
744 = "Démérare"					#Demerara. Notes
745 = "Côte Sauvage"				#Suriname. Notes
747 = "Cap-Nord"					#Tucujulandia. Notes
748 = "Bethléem"					#Grao Para. Notes
749 = "Maragnan"					#Maranhao. Notes
751 = "Fort Sébastien"				#Ceara. Notes
752 = "Rosaire"						#Oeiras. Notes
753 = "Grande-Rivière"				#Rio Grande. Notes
754 = "Frédéricbourg"				#Itamaraca. Notes
755 = "Pernambouc"					#Pernambuco. Notes
756 = "La Baie"						#Bahia. Notes
757 = "Saint-Georges"				#Ilheus. Notes
