#Moved to Scandinavian group localised naming

#Restored Vanilla names
#2 = "Østergøtland" #Incorrect as of 11.5
4 = "Vestmanland"
#8 = "Dalaskoven" #Would rather have a Kopparberg in Danish here.
29 = "Tavasthus"
5646 = "Nøteborg" #Nöteborg is in 5646 now, not 33.
41 = "Kongensberg"
46 = "Rostok"
53 = "Lyneborg"
54 = "Kedingerland"
55 = "Oldenborg"
57 = "Brunsvig"
100 = "Frisland"
151 = "Miklagaard"
235 = "Kænt"
#236 = "Londen" #Using vanilla Middlesex
237 = "Oksfort"
238 = "Gestingtorp"
239 = "Lunglevens"
240 = "Agden"
241 = "Flatholm"
242 = "Angleø"
243 = "Skellingtorp"
244 = "Arkholm"
245 = "Lofthus"
246 = "Tynemun"
247 = "Thursby"
248 = "Musselborg"
249 = "Præstvig"
251 = "Whinfold"
252 = "Tarradal"
253 = "Ydre Suderøer"
280 = "Kævgaard"
310 = "Holmgaard"
313 = "Ærkeengel"
358 = "Særkland"
369 = "Ørkenøerne"
370 = "Røgvigen"
374 = "Arklag"
1777 = "Kolahalvøen"
7853 = "Virland" #Moved to 7853 from 1842 as of 11.5
1841 = "Marienborg"
1857 = "Lauenborg"
1858 = "Vineta"
1859 = "Kelm"
1931 = "Østfrisland"
7838 = "Seborg" #Moved to 7838 from 1935 as of 11.5
1974 = "Gammalsvenskby"
1979 = "Færøerne"
2994 = "Grifsweld"
2996 = "Rerik"
2997 = "Truso"
3008 = "Hvithus"
3009 = "Hvitfjord"
3014 = "Ydrefold"
3019 = "Busby"
3028 = "Gosbæk"
3036 = "Fiskgaard"
3114 = "Isafjord"
3115 = "Østfjord"
3117 = "Oplandene"
3120 = "Jønkøbing" #Altered to use b instead of p. Danes never used p in these cases.
3121 = "Øland"
3122 = "Sydermanland"
3123 = "Upland"
3135 = "Nordfrisland"
3137 = "Heimsdalen"
3139 = "Laukirk"
3224 = "Insterborg"
3230 = "Adalsyssel"
3231 = "Dagø"
4110 = "Katnæs"
4119 = "Skeljvig"
#4113 = "Kænland" #I don't think using Kvänland for this province is particularly fitting. Kvänland was used for basically all of Bothnia.
4121 = "Einmund"
4123 = "Birkland"
4130 = "Adsborg"
4143 = "Borgsyssel"
4141 = "Ditmarsken" #It changes to Ditmersken but that's incorrect 
4163 = "Elfsborg"
#4165 = "Gønge" #Already in
4361 = "Kirkehull"
4362 = "Præstehoved"
4363 = "Kolonsø"
4364 = "Indre Suderøer"
4365 = "Mann"
4367 = "Jorvik"
4369 = "Hasgaard"
4370 = "Toseland"
4372 = "Barby"
4373 = "Topshavn"
4374 = "Grimsten"
4375 = "Hulm"
4376 = "Thurnby"
4378 = "Strømly"
4379 = "Kongensfylke"
4382 = "Ommeland"
4383 = "Grevenshave"
5644 = "Jama"
#5646 = "Sjlisselborg" #Commenting this out for now, because I think using Nöteborg is a better idea.
5648 = "Poventsa"
