#Most moved to brythonic

#Breizh
4384 = "Roazhon"
170 = "Leon"
171 = "Gwened"
172 = "Naoned"
169 = "Sant-Brieg"
3068 = "Kernev"

#Cymru
241 = "Morgannoug"
242 = "Gwenez"
4366 = "Powis"
3034 = "Bric'haeniog"
4369 = "Devet"
3036 = "Keredigion"

#Kernow
233 = "Kernev-Veur"
4373 = "Devnent"			#Capital Karesk, think that may be modern, though. Welsh Dyfnaint might be preferable anyhow
4939 = "Wapitis Rouges" # Waskasoo Seepee			#Francophone name
1806 = "Island Lake" # Wasagamack							#Anglophone name
1808 = "Humboldt" # Mahaguaduka							#Germanic name problem would another name be better
1810 = "Kuskokwim" # Deg Hitan							#Generic name
1813 = "Fort Pascoyac" # Opaskwayak					#Francophone name
2003 = "Kootenais de l'Est" # Ktunaxa						#Francophone name BeyondTypusInvention
2004 = "Lethbridge" # Kainawa									#Anglophone name
2005 = "Wascana" # Oscana										#Generic name
2016 = "Grandes Fourches" # Isangyathi					#Francophone name
2017 = "Fort Edmonton" # Nehiyawewin					#Anglophone name
2018 = "Jasper" # Tsuu Tina										#Anglophone name problem better name needed
2019 = "Nez Percés" # Niimiipu								#Francophone name
2020 = "Les Grandes Chutes" # Bohoinee					#Francophone name BeyondTypusInvention problem bad name need better
2021 = "Santa Rosa" # Miwok									#Iberian name used by Anglophone
2022 = "Haida" # Xaayda											#Generic name
2078 = "Palm Desert" # Nuwa									#Anglophone name
2476 = "San Diego" # Payomkawichum					#Iberian name used by Anglophone
2477 = "Fortuna" # Natinixwe									#Christian name used by Anglophone
2480 = "Shasta" # Waika											#Generic name
2481 = "Coquille" # Umpqua										#Native or Francophone name used by Anglophone
2482 = "Mount Hood" # Clackamas							#Anglophone name
2483 = "La Grande" # Umatilla									#Francophone name
2484 = "La Bouche" # Aqokulo									#Francophone name
2485 = "Puyallup" # Spuyalupubsh							#Generic name
2486 = "Snoqualmie" # Sdukalbixw							#Generic name
2487 = "Spokane" # Sqeliz											#Generic name
2488 = "Yakima" # Yakama										#Generic name
2489 = "Boise" # Bannock											#Anglophone name problem anachronistic is Bannock better less recognisable
2490 = "Grand Lac Salé" # Gutsipupiutsi					#Francophone name
2511 = "Lac du Diable" # Mni Wakang						#Francophone name BeyondTypusInvention
2573 = "Port-aux-Basques" # Qalipu							#Francophone name
2574 = "Naine" # Sikumiut										#Cristian name modified
2575 = "Rigolet" # Mishtashipu								#Francophone name
2592 = "Fort Severn" # Omaskekowak						#Anglophone name
2593 = "Lac des Bois" # Minitie								#Francophone name
2594 = "Nelson" # Powinigow									#Anglophone name
2595 = "Île-à-la-Crosse" # Sakittawak						#Francophone name
2596 = "Qu'Appelle" # Hohe										#Francophone name
2597 = "Saskatchewan" # Kisiskaciwani Sipiy			#Generic name
2598 = "Brises Chaudes" # Moose Gaw					#Francophone name BeyondTypusInvention
2599 = "Fort Chipewyan" # Kaithelikehotinne			#Anglophone name
2600 = "Athabasca" # Athapaskaw							#Generic name
2601 = "Fort Vermilion" # Wapuskau						#Anglophone name
2602 = "Calgary" # Siksikawa									#Celtic Norse name used by Anglophone
2603 = "Sekani" # Tsekene										#Generic name
2604 = "Fort George" # Dakelh									#Anglophone name
2605 = "Shuswap" # Secwepemc								#Generic name
2606 = "Fort Alexandre" # Tsilhqotin						#Anglophone name modified
2607 = "Okanagan" # Syilx										#Generic name
2609 = "Prince Rupert" # Tsmsyan							#Anglophone name
2610 = "Powell River" # Komoks								#Anglophone name
2611 = "Kodiak" # Qikrtaq										#Generic name
2612 = "Cordova" # Eyak											#Iberian name used by Anglophone modified
2613 = "Sitka" # Shee Atika										#Generic name
2620 = "Tijuana" # Kumeyaay									#Iberian name used by Anglophone

#BT200 New Provinces
4920 = "Aleut" # Aleut East										#Generic name
4921 = "Naknek" # Naugeik										#Generic name
4922 = "Dilingham" # Curyuk									#Anglophone name
4923 = "Bethel" # Mamterilleq									#Christian name used by Anglophone
4924 = "Unalakleet" # Unalaqliq								#Generic name
4925 = "Nome" # Chinik											#Anglophone name
4926 = "Kenai" # Kena												#Generic name
4927 = "Valdez" # Suacit											#Iberian name used by Anglophone
4928 = "Galena" # Koyukuk										#Slavic name used by Anglophone
4929 = "Clachotin" # Nuchalawoyyet						#Francophone name
4930 = "Allakaket" # Allakaket									#Generic name
4931 = "Fairbanks" # Chena										#Anglophone name
4932 = "Beaver" # Denyeet										#Anglophone name
4933 = "Fort Yukon" # Gwichin								#Anglophone name
4934 = "Eagle" # Han Hwechin									#Anglophone name
4935 = "Tanacross" # Taatsaltey								#Anglophone name
4936 = "Ahtna" # Ahtna											#Generic name
4937 = "Klondike" # Trochek Hwechin						#Francophone name BeyondTypusInvention
4938 = "Whitehorse" # Dan										#Anglophone name
4940 = "Fort Victoria" # Snuneymuxw						#Anglophone name
4941 = "Kitimat" # Xaislakala									#Generic name
4942 = "Tillamook" # Nehalem									#Generic name
4943 = "Bulkley" # Nataotin										#Anglophone name
4944 = "Nechako" # Netsha Koh								#Generic name
4945 = "Les Dalles" # Tlakluit									#Francophone name
4946 = "Rivière des Chutes" # Towarnehiooks			#Francophone name
4947 = "Kootenais de l'Ouest" # Aqkoktlaqatl			#Francophone name BeyondTypusInvention
4948 = "Cœur d'Alene" # Qlispel								#Francophone name
4949 = "Skagit" # Nlakapamux									#Generic name
4950 = "Fresno" # Choinumni									#Iberian name
4951 = "Sacremento" # Nisenan									#Iberian name
4952 = "Owens Valley" # Wakopee							#Anglophone name
4953 = "Lac Tahoe" # Waashiw									#Francophone name BeyondTypusInvention
4954 = "Lac des Oies" # Newapkshi							#Francophone name BeyondTypusInvention
4955 = "Vallée de la Mort" # Tumpisa						#Francophone name BeyondTypusInvention
4956 = "Vallée des Coquins" # Takelam					#Francophone name BeyondTypusInvention
4957 = "Haut Desert" # Wadatika								#Francophone name BeyondTypusInvention
4958 = "Klamath" # Iwauna										#Generic name
4959 = "Denver" # Niineniiniiciihehe							#Anglophone name
4960 = "Porte de l'Enfer" # Nmesuletkw					#Francophone name
4961 = "Palouse" # Palus											#Generic name
4962 = "Uintah" # Yapudttka									#Generic name
4963 = "Colorado" # Pahdteeahnooch						#Generic name
4965 = "Wasatch" # Toompahnahwach						#Generic name
4966 = "Cohonino" # Havsuw Baaja							#Generic name
4967 = "Utah" # Pahvant											#Generic name
4968 = "Kotzebue" # Qikiqtagruk								#Generic name
4969 = "Point d'Espoir" # Tikigaq								#Francophone name BeyondTypusInvention
4970 = "Barrow" # Ukpeagvik									#Anglophone name
4971 = "Prudhoe Bay" # Sagavanirktok						#Anglophone name
4972 = "Tahltan" # Tahltan										#Generic name
4976 = "Aklavik" # Tuktuyaaqtuuq							#Generic name
4977 = "Vielle Corneille" # Teechik							#Francophone name BeyondTypusInvention
4978 = "Fort de Bon Espoir" # Radeyilikoe				#Francophone name BeyondTypusInvention
4980 = "Fort Norman" # Sahtu									#Anglophone name
4981 = "Tagish" # Tagish											#Generic name
4982 = "Omenica" # Omenica									#Generic name
4983 = "Fort Simson" # Liidli Kue							#Anglophone name
4984 = "Fort d'Epinette" # Danezaa							#Francophone name
4985 = "Tlicho" # Tlicho											#Generic name
4986 = "Fort Providence" # Kagee								#Anglophone name
4987 = "Fort Nelson" # Muskwa								#Anglophone name
4988 = "Stuart Lake" # Wetsuweten							#Anglophone name
4989 = "Fort Resolution" # Desnedhekkenade			#Anglophone name
4990 = "Point d'Eskimo" # Tikirajualaaq					#Francophone name BeyondTypusInvention
4991 = "Rankin Inlet" # Kudlulik								#Anglophone name
4992 = "Cape Fullerton" # Qatiktalik						#Anglophone name
4993 = "Repulse Bay" # Naujaat								#Anglophone name
4994 = "Igloolik" # Sanirajak										#Generic name
4995 = "Southhampton Island" # Shugliaq				#Anglophone name
4996 = "Cape Dorset" # Sikusiilaq							#Anglophone name
4997 = "Lake Harbour" # Amadjuak							#Anglophone name
4998 = "Frobisher Bay" # Iqaluit								#Anglophone name
4999 = "Belcher Islands" # Sanikiluaq						#Anglophone name
5000 = "Lac la Loche" # Methye								#Francophone name
5001 = "Fond du Lac" # Hoteladi Hotthenade			#Francophone name
5002 = "Brochet" # Kinoosao									#Francophone name
5003 = "Las des Grosses Truites" # Inninuwug		#Francophone name
5004 = "Portage D'Oreille" # Otahwaka Powitek		#Francophone name
5005 = "Winisk" # Webequie										#Generic name
5006 = "Baie Déception" # Salluit								#Francophone name
5007 = "Fort Chimo" # Kuujjuaq								#Anglophone name
5008 = "Nemiscau" # Nemiskaw								#Francophone name
5009 = "Oujé-Bougoumou" # Ucepukumu				#Francophone name
5010 = "Passes-Dangereuses" # Menukuanistuk Shipu		#Generic name
5011 = "Manicouagan" # Mushaualakan							#Francophone name
5012 = "Mécatina" # Makatinau								#Francophone name
5013 = "St. Jean" # Beothuk										#Francophone name
5014 = "Labrador" # Kawawachikamach					#Iberian name
5015 = "Naskapi" # Nitassinan									#Generic name
5016 = "Winnemucca" # Kuyuidika							#Generic name
5017 = "Orignalo" # Natakkoa									#Francophone name BeyondTypusInvention
5018 = "Los Angeles" # Tongva								#Iberian name
5019 = "St. Pierre et Miquelon" # Saint Pierre et Miquelon			#Francophone name
5020 = "Revilla Gigedo Islands" # Revilla Gigedo Islands					#Iberian name
5021 = "Îles d'Auckland" # Motu Maha					#Francophone name BeyondTypusInvention
5022 = "Îles de Chatham" # Rekohu							#Francophone name BeyondTypusInvention
5023 = "Îles Phœnix" # Rawaki									#Francophone name
5024 = "Îles Cook du Nord" # Tongareva					#Francophone name
5025 = "Îles Marquises" # Te Henua Enana				#Francophone name
5026 = "Îles Gambier" # Mangareva							#Francophone name
5027 = "Tristan da Cunha" # Tristan da Cunha			#Generic name
5028 = "Bonin Islands" # Bonin Islands					#Generic name
5029 = "Oahu" # Oahu												#Generic name
5030 = "San Francisco" # Ohlone								#Iberian name
5031 = "Eureka" # Wiyot											#Christian name
5032 = "Bakersfield" # Tachi										#Anglophone name
5033 = "Fort Fork" # Amiskiwiyiniw						#Anglophone name
5034 = "Fort McMurray" # Saamis							#Anglophone name
5035 = "Lac la Biche" # Nahathaway						#Francophone name
5040 = "Kaska" # Kaska											#Generic name
5041 = "Nahanni" # Nahanni										#Generic name
5042 = "Mohave" # Aha Makhav								#Generic name
5043 = "Mexicali" # Cocopah									#Iberian name
5044 = "Lac de Mono" # Kucadikadi							#Francophone name BeyondTypusInvention
5045 = "Redding" # Wintu											#Anglophone name

#BT300 Overhaul Vanilla renaming
971 = "Castine"	# Abnaki											#Francophone name 
982 = "Île Royale"	# Unamakik								#Francophone name 
983 = "Île Saint-Jean"	# Epekwitk								#Francophone name 
984 = "Grand-Pré"	# Acadia										#Francophone name 
985 = "Beauséjour"	# Micmac								#Francophone name 
986 = "Baie des Chaleurs"	# Kespek						#Francophone name 
987 = "Niagara" # Niagara											#Native name 
988 = "Petite Côte" # Huron										#Francophone name 
989 = "Frontenac" # Ontario										#Francophone name 
990 = "Mauricie"	# Kwedech									#Francophone name 
991 = "Saults des Chenaux" # Ottawa						#Francophone name 
992 = "Outaouais"	# Algonquin								#Francophone name from Native name
993 = "Laurentides"	# Hochelega							#Francophone name 
994 = "Québec"	# Stadacona										#Francophone name from Native name
995 = "Tadoussac"	# Atiamekw								#Francophone name from Native name
1001 =  "Sault Ste. Marie" # Sault								#Francophone name 
1002 = "Abitibi"	#Abitibi											#Native name
1007 =  "Kamanistigouian" # Ojibwa							#Native name
2012 = "Arthabaska"	# Arsigantegok						#Generic name
2015 =  "Michipicoten" # Nipigon							#Native name
2566 = "Machias"	# Passamaquoddy						#Native name
2567 = "Aroostook"	# Aroostook							#Native name
2568 = "Port-Royal"	# Kespukwitk							#Francophone name 
2569 = "La Hève"	# Eskikewakik							#Francophone name 
2570 = "Saint-Jean"	# Wolystoq								#Francophone name 
2571 = "Meductic"	# Madawaska								#Native name
2572 = "Miramichi"	# Siknikt									#Francophone name from Native name
2576 = "Mingan"	# Mingan									#Native name
2577 = "Sept-Îles"	# Manicouagan							#Francophone name 
2578 = "Anticosti"	# Anticosti									#Francophone name 
2579 = "Saguenay"	# Piekougami								#Native name
2580 = "Haute-Mauricie"	# Atikamekw					#Francophone name 
2581 = "Obadjiwan"	# Timiskaming						#Native name
2582 = "Rimouski"	# Maliseet									#Native name
2583 = "Trois-Rivières"	# Etchemins						#Francophone name 
2584 = "Montréal"	# Loup										#Francophone name 
2585 =  "L'Orignal" # Kichesipi								#Francophone name 
2586 =  "Sainte Claire" # Tionontate							#Francophone name 
2587 =  "Pétunie" # Odawa										#Francophone name from Native name
2588 =  "Nipissing" # Piscatang									#Native name
2589 =  "Kapuskasing" # Kesagami							#Native name
2590 =  "Témiscamingue" # Shaggami						#Native name
2591 =  "Chapleau" # Outoulibi									#Francophone name 
2670 =  "Toronto" # Tkaronto									#Native name
2671 =  "Wasauksing" # Mississage							#Native name

#BT300 New Provinces
4973 = "Ste. Anne des Pins" # Waanabidebiing			#Francophone name
4974 = "Grand Banc" # Grand Bank							#Francophone name
5036 = "Fort St Pierre" # Atikokan							#Francophone name
5037 = "Huronie" # Wendake									#Francophone name
5038 = "Kenté" # Quinte 											#Francophone name
5039 = "Isle de Ste-Marie" # Manidoowaaling 			#Francophone name
5046 = "Ste. Anne"	# Nashwaak							#Francophone name
5047 = "Tatmagouche"	# Epegoitnag						#Native name
5048 = "Chedabuctou"	# Esgigeoag							#Native name
5049 = "Caraquet"	# Gespegeoag								#Francophone name
5050 = "Madawaska"	# Madawaska II						#Native name
5051 = "Cap de Sable"	# Keespongwitk					#Francophone name
5052 = "Piscataquis"	# Panawahpskek						#Native name
5053 = "Kamouraska"	# Kamouraska						#Francophone name
5054 = "Gaspé"	# Gespeg											#Francophone name
5055 = "Pointe-aux-Outardes"	# Piletipistu Neshkau		#Francophone name
5056 = "Pontiac"	# Kichesipirini							#Francophone name
5057 = "Harricana"	# Nanikana									#Generic name
5058 = "Trépassés"	# Avalon II								#Francophone name
5059 = "Plaisance"	# Avalon III								#Francophone name
5060 = "Estrie"	# Mamhlawbagak							#Francophone name

#BT400  Overhaul Vanilla renaming
855 = "Mazatlán"	# Huichol									#Generic name
859 = "Sinaloa"	# Sinaloa											#Generic name
862 = "Opaterie"	# Yaqui										#Generic name BeyondTypusInvention
875 = "Hopi"	# Canyon											#Generic name
876 = "Phénix"	# Yavapai										#Generic name BeyondTypusInvention
877 = "Tucson"	# Pima												#Generic name
878 = "Trois Rivières"	# Navajo								#Francophone name BeyondTypusInvention, without hyphen to distinguish from real TR
879 = "Nouvelle Berne"	# Apache							#Francophone name BeyondTypusInvention. I was inspired by the wordplay
880 = "Santa Fe"	# Pueblo										#Iberian name used by Anglophone
881 = "Belle Lumière"	# Piro									#Francophone name BeyondTypusInvention
882 = "Roswell"	# Mescalero									#Sumner or Carlsbad might be better, but people love Roswell. May be considered a 'light' easter egg
2491 = "Hualapai"	# Hualapai									#Generic name
2492 = "Ville d'Argent"	# Chiricahua						#Francophone name BeyondTypusInvention
2493 = "Zuni"	# Hopi											#Generic name
2494 = "Gila"	# Zuni													#Iberian name, I think, Mogollon also an option
2495 = "Blanchêne"	# Acoma									#Francophone name BeyondTypusInvention. Deal with the grammar, French in this period wasn't so picky =p
2496 = "Jicarilla"	# Jicarilla										#Generic name
2608 = "Sawatch" # Rocky Mountains						#Generic name
2616 = "Caborca" # Seri												#Generic name

#BT400 New Provinces
4964 = "Seri" # Comcaac											#Generic name
4975 = "Moab" # Sahyehpeech									#Christian name
4979 = "Navajo" # NavojoWest									#Generic name
5061 = "Guaymas" # Guaymas									#Generic name
5062 = "Navojoa" # Yoreme										#Generic name
5063 = "Culiacán" # Colhuacan									#Generic name
5064 = "Durango" # Hisatsinom								#Iberian name used by Anglophone
5065 = "Pueblo" # Muache										#Iberian name used by Anglophone
5066 = "Tremble" # Taveewachii								#Francophone name BeyondTypusInvention
